id;name;description;image;ingredientIds;preparation;tags;goals;type
66;Tortilla de queso y espinacas;Tortilla rica en proteínas con queso fresco y espinacas.;https://images.unsplash.com/photo-1510693206972-df098062cb71?q=80&w=698&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"13;58;12;3";Batir huevos | Sofreír espinacas | Mezclar con queso fresco | Cuajar tortilla;sin gluten;gain_muscle;
67;Batido de plátano y leche con avena;Batido energético para desayuno o post-entrenamiento.;https://images.unsplash.com/photo-1655992590262-aeadeef445b1?q=80&w=870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"16;33;15;48";Triturar plátano, leche de vaca, avena y miel | Servir frío;sin gluten;gain_muscle; breakfast
68;Sandwich de pavo y queso fresco;Sándwich completo con pavo, queso y tomate.;https://images.unsplash.com/photo-1592415486689-125cbbfcbee2?q=80&w=1450&auto=format&fit=crop&ixlib=rb-4.0.3;https://images.unsplash.com/photo-1528735602780-2552fd46c7af?q=80&w=873&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;Tostar pan integral | Montar pavo, queso fresco y tomate en rodajas | Aliñar con aceite;;eat_healthy; 
69;Batido de cáñamo y plátano;Batido proteico para desayuno o post-entrenamiento.;https://images.unsplash.com/photo-1591621542147-c6d86381dc13?q=80&w=1031&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"61;16;17;63";Triturar semillas de cáñamo, plátano, leche vegetal y mantequilla de cacahuete | Servir frío;"vegana;sin gluten;sin lactosa";gain_muscle; breakfast
70;Bowl de quinoa y judías negras;Plato completo con proteína y carbohidratos para ganar músculo.;https://images.unsplash.com/photo-1594782855419-e646186ad78f?q=80&w=870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"19;54;20;3;41";Cocer quinoa | Mezclar con judías negras, pimiento rojo y aliñar con aceite y limón;"vegana;sin gluten;sin lactosa";gain_muscle;
71;Tortilla vegana de garbanzo;Tortilla sin huevo con harina de garbanzo y espinacas.;https://images.unsplash.com/photo-1700324673015-52cddc228533?q=80&w=1031&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"64;12;4;3";Mezclar harina de garbanzo con agua | Sofreír espinacas y cebolla | Cocinar como tortilla;"vegana;sin gluten;sin lactosa";gain_muscle;
72;Pasta integral con tofu y levadura nutricional;Pasta proteica con salsa cremosa vegana.;https://images.unsplash.com/photo-1733700469181-fc8edf9af33f?q=80&w=870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"23;30;62;27;3";Cocer pasta integral | Saltear tofu con salsa de tomate | Espolvorear levadura nutricional | Aliñar con aceite;"vegana;sin lactosa";gain_muscle;
73;Ensalada de espelta y garbanzos;Ensalada energética con espelta y garbanzos.;https://images.unsplash.com/photo-1529059997568-3d847b1154f0?q=80&w=870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"65;32;2;20;3";Cocer espelta | Mezclar con garbanzos, tomate, pimiento rojo y aliñar con aceite;"vegana;sin lactosa";gain_muscle;
74;Porridge de avena y mantequilla de cacahuete;Desayuno proteico con avena y semillas.;https://images.unsplash.com/photo-1605055624155-393d4e2b837a?q=80&w=870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"15;63;61;17";Cocinar avena con leche vegetal | Mezclar con mantequilla de cacahuete y semillas de cáñamo | Servir caliente;"vegana;sin gluten;sin lactosa";gain_muscle; breakfast
75;Bowl de tofu y arroz integral;Plato proteico con tofu marinado y arroz.;https://images.unsplash.com/photo-1631255325918-1ca2886508a5?q=80&w=870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"30;6;28;40;3";Marinar tofu con salsa de soja | Cocer arroz | Saltear brócoli | Mezclar y aliñar con aceite;"vegana;sin lactosa";gain_muscle;
76;Hamburguesa vegana de garbanzos;Hamburguesa rica en proteínas con garbanzos.;https://images.unsplash.com/photo-1562514003-4ad85ecfc1a0?q=80&w=870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"32;64;2;3;29";Triturar garbanzos con harina de garbanzo | Formar hamburguesas | Cocinar a la plancha | Servir con tomate y pan integral;"vegana;sin lactosa";gain_muscle;
77;Ensalada de lentejas y quinoa;Ensalada proteica con lentejas y quinoa.;https://images.unsplash.com/photo-1636044992970-f6efe88ab1f8?q=80&w=869&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"9;19;44;41;3";Cocer lentejas y quinoa | Mezclar con aguacate | Aliñar con limón y aceite;"vegana;sin gluten;sin lactosa";gain_muscle;
78;Curry de soja texturizada y espelta;Plato energético con soja y espelta.;https://images.unsplash.com/photo-1627366422957-3efa9c6df0fc?q=80&w=870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"31;65;8;27;3";Hidratar soja texturizada | Cocer espelta | Preparar curry con salsa de tomate y especias | Mezclar y aliñar con aceite;"vegana;sin lactosa";gain_muscle;
